topic,total_count,pmid,title,source,pubdate
precision medicine oncology,62101,42402813,Preclinical proof of concept for a personalized SNAP™-TIL (Specific Neo-Antigen Peptides-TIL) therapy platform.,Oncoimmunology,2026 Dec 31
precision medicine oncology,62101,42377119,,Cancer biology & therapy,2026 Dec 31
precision medicine oncology,62101,42335104,The dual role of leukotrienes in the tumor microenvironment: balancing pro-tumorigenic and anti-tumor immunity.,Cancer biology & therapy,2026 Dec 31
precision medicine oncology,62101,42240026,,Cancer biology & therapy,2026 Dec 31
precision medicine oncology,62101,42212684,Decoding the microbiome: artificial intelligence-targeted gut microenvironment breakthroughs in personalized cancer therapy.,Gut microbes,2026 Dec 31
precision medicine oncology,62101,42092750,"Targeted proteoform degradation for precision drug design, delivery, and therapy.",Drug delivery,2026 Dec 31
precision medicine oncology,62101,42015346,Gut microbiome and metabolic health: mechanisms and precision interventions.,Gut microbes,2026 Dec 31
precision medicine oncology,62101,41992448,Angiopep-2-decorated bacterial outer membrane vesicles penetrate the blood-brain barrier for glioblastoma chemo-immunotherapy.,Drug delivery,2026 Dec 31
precision medicine oncology,62101,41866709,Extracellular payload release from non-internalizing antibody-drug conjugates: mechanisms and linker technologies.,Drug delivery,2026 Dec 31
precision medicine oncology,62101,41582518,,Oncoimmunology,2026 Dec 31
precision medicine oncology,62101,41459935,A dual diacylglycerol kinase (DGK) alpha/zeta inhibitor augments the activity of human tumor infiltrating lymphocytes in,Oncoimmunology,2026 Dec 31
precision medicine oncology,62101,41723613,[THE PRECISION APPROACH IN CONTEMPORARY NEUROSURGICAL PRACTICE: A REVIEW].,"Problemy sotsial'noi gigieny, zdravookhraneniia i istorii meditsiny",2026 Dec 15
precision medicine oncology,62101,42375141,Recent advances in HER2-targeted inhibitors for cancer therapy.,Pharmaceutical science advances,2026 Dec
precision medicine oncology,62101,42360103,Inflammation and carcinogenesis: molecular targets and small-molecule intervention strategies.,Journal of enzyme inhibition and medicinal chemistry,2026 Dec
precision medicine oncology,62101,42318797,Research progress of ferroptosis in gynecological diseases.,Annals of medicine,2026 Dec
precision medicine oncology,62101,42304982,First-in-human evaluation of [,Annals of medicine,2026 Dec
precision medicine oncology,62101,42165335,Amplification of pro-proliferative genes adjacent to the F3 gene in pancreatic adenocarcinoma is associated with worse outcomes.,"Cell cycle (Georgetown, Tex.)",2026 Dec
precision medicine oncology,62101,42113945,Microbiota and head and neck cancers: Mechanistic insights and translational potential.,Virulence,2026 Dec
precision medicine oncology,62101,42011380,Development and validation of a prediction model for moderate-to-severe radiation dermatitis in patients with nasopharyngeal carcinoma: A machine learning study.,Asia-Pacific journal of oncology nursing,2026 Dec
precision medicine oncology,62101,42003514,Absence of steatosis combined with cardiometabolic risk factors confers the highest hepatocellular carcinoma risk in treated chronic hepatitis B.,Annals of medicine,2026 Dec
wearable device hypertension,423,42274189,Photoplethysmography based remote cardiac blood pressure monitoring compared with 24-h ambulatory blood pressure monitoring.,Blood pressure monitoring,2026 Aug 01
wearable device hypertension,423,42228468,Exercise-induced changes in blood pressure and pulse rate in relation to cardiac structure and function assessed by a wearable wrist-type oscillometric blood pressure monitor.,Journal of hypertension,2026 Aug 01
wearable device hypertension,423,41946254,Concordance of wearable device sleep metrics with patient-reported sleep quality: A systematic review.,Sleep medicine,2026 Aug
wearable device hypertension,423,42409208,"A Health Tracking Application Leads to An Avid Cyclist Being Diagnosed with ALCAPA at 52 years old, Warranting a Takeuchi Repair.",The Annals of thoracic surgery,2026 Jul 06
wearable device hypertension,423,41955425,Wearable device use and aerobic physical activity guideline adherence in adults with hypertension: analysis of US population-based survey data.,American journal of hypertension,2026 Jul 01
wearable device hypertension,423,41205136,Artificial intelligence in nephrology: predicting CKD progression and personalizing treatment.,International urology and nephrology,2026 Jul
wearable device hypertension,423,42324113,[Research progress of wearable devices in cardiovascular disease management].,Zhonghua xin xue guan bing za zhi,2026 Jun 24
wearable device hypertension,423,42369453,Cardiac rhythm development: A wearable device index of risk for physical and mental illness in adolescence.,medRxiv : the preprint server for health sciences,2026 Jun 18
wearable device hypertension,423,42287050,[Association between wearable-derived physical activity patterns and gut microbiota in older adults].,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,2026 Jun 18
wearable device hypertension,423,42326900,Application of digital health technologies in hypertension self-management: a narrative review.,Frontiers in public health,2026
wearable device hypertension,423,42305919,Interpretable photoplethysmography-based machine-learning model for noninvasive assessment of systolic blood pressure.,Frontiers in physiology,2026
wearable device hypertension,423,41960813,Increasing Use of Wearable Devices for Health or Activity Tracking Among Adults with Chronic Diseases in the US.,Journal of the American College of Surgeons,2026 Jun 01
wearable device hypertension,423,42191988,Fetal monitoring for high-risk pregnancies using a wearable ultrasound patch.,Nature biotechnology,2026 May 26
wearable device hypertension,423,42190641,Sleep and Cardiovascular Health Among Women With a History of Hypertensive Disorders of Pregnancy: Pilot Observational Study.,JMIR cardio,2026 May 26
wearable device hypertension,423,42178658,Reliability and Safety of Smartwatch Blood Pressure and Oxygen Saturation Measurements in Older Adults: Instrument Validation Study.,JMIR formative research,2026 May 22
wearable device hypertension,423,41739846,Cuffless Blood Pressure Monitoring Devices: Technical Foundations and Clinical Implications.,European journal of preventive cardiology,2026 May 15
wearable device hypertension,423,42135283,Cuffless hemodynamic monitoring with physics-informed machine learning models.,Nature communications,2026 May 14
wearable device hypertension,423,42102242,A Novel Trans-Septal Cannula for Wearable Extracorporeal Membrane Oxygenation: In Vitro Hemodynamic Evaluation and Placement Feasibility.,ASAIO journal (American Society for Artificial Internal Organs : 1992),2026 May 08
wearable device hypertension,423,42122568,A Comparative Study of Signal Representations Methods and Deep Learning Architectures for PPG-Based Cuffless Blood Pressure Estimation.,"Sensors (Basel, Switzerland)",2026 May 02
wearable device hypertension,423,42140495,Wearable devices in the management of hypertension: Navigating the intersection between digital advancement and evidence-based practice.,"Clinical medicine (London, England)",2026 May
microbiome obesity,14812,42415234,A metabolite-dependent mechanism by which,Gut microbes,2026 Dec 31
microbiome obesity,14812,42343233,Effect of pasteurized,Gut microbes,2026 Dec 31
microbiome obesity,14812,42296178,Cardiovascular-kidney-metabolic syndrome through the lens of gut‑derived uremic toxins.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42265922,Colonic nutritional and physicochemical parameters drive gut microbiota dysbiosis in obesity: what we learned from the Ob-M-ARCOL model development.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42231528,Multiomics insights into the effects of prebiotics on physical function and metabolism in adults with obesity and knee osteoarthritis.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42228606,Microbial shifts in early life: the pediatric gut microbiome and its role in health and disease.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42199008,Increasing plant protein sources in the diet modulates gut microbiota and tryptophan metabolism in men at cardiometabolic risk.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42178725,"Soil-derived microbiota induces T regulatory cells and protect against mouse colitis, metabolic disease, and sepsis.",Gut microbes,2026 Dec 31
microbiome obesity,14812,42105281,Gut microbiota-regulated glutathione metabolic rhythms restore obesity-induced colonic inflammatory oscillations.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42092775,A novel bile salt hydrolase-producing,Gut microbes,2026 Dec 31
microbiome obesity,14812,42083504,Gut microbiota and immunometabolism in obesity.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42083330,Early postnatal antibiotic-associated gut microbiota alterations might promote long-term lipid metabolism via brown adipose tissue metabolic programming.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42070114,Lactic acid bacteria and endogenous ethanol mediate proton pump inhibitor-associated MASLD: a multicohort cross-sectional mediation analysis.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42026801,Calorie-restricted oat diet is associated with zonulin and short-chain fatty acid response in metabolic syndrome: a randomized controlled trial.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42015346,Gut microbiome and metabolic health: mechanisms and precision interventions.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42010766,Exercise intensity as a modulator of gut microbiota and host metabolic health in obesity.,Gut microbes,2026 Dec 31
microbiome obesity,14812,41999240,The duodenal microbiota is compartmentalized and clinically stable yet rapidly responsive to nutrient exposure.,Gut microbes,2026 Dec 31
microbiome obesity,14812,41928384,Human fecal transplantation from stunted children promotes metabolic dysfunction in mice fed with a high-fat and high-fructose corn syrup diet.,Gut microbes,2026 Dec 31
microbiome obesity,14812,41906418,Dysregulated eating behaviour and microbiota-based interventions targeting eating disorders and food addiction.,Gut microbes,2026 Dec 31
microbiome obesity,14812,41845563,,Gut microbes,2026 Dec 31
